Model,Feature_Selection,Dimensionality_Reduction_Technique,CV MSE Mean,CV MSE SD,CV MAE Mean,CV MAE SD,Final MSE,Final MAE
LR,None,None,103.54517533417086,85.33478953072978,6.829505932730231,2.8242356977693146,79.48854349628867,6.778426421643612
LR,ANOVA1,None,87.0782854636587,29.055990851911154,7.7147773491136675,1.746281786428951,121.48897241878178,8.937364852730537
LR,ANOVA2,None,104.55922493301357,41.5898288475371,8.279303640742587,2.081529705918008,112.91284377609655,8.526875314109777
LR,ANOVA3,None,77.14002972313848,46.385432882828255,6.109650846892882,2.2612135264777793,84.22385354425849,6.793448556859972
LR,CHISQ1,None,87.0782854636587,29.055990851911154,7.7147773491136675,1.746281786428951,121.48897241878178,8.937364852730537
LR,CHISQ2,None,104.55922493301357,41.5898288475371,8.279303640742587,2.081529705918008,112.91284377609655,8.526875314109777
LR,CHISQ3,None,77.14002972313848,46.385432882828255,6.109650846892882,2.2612135264777793,84.22385354425849,6.793448556859972
LR,MIT1,None,248.16912462200185,325.0196255424832,10.07888360325411,5.277042146846377,121.48897241878178,8.937364852730537
LR,MIT2,None,104.55922493301357,41.5898288475371,8.279303640742587,2.081529705918008,112.91284377609655,8.526875314109777
LR,MIT3,None,77.14002972313848,46.385432882828255,6.109650846892882,2.2612135264777793,84.22385354425849,6.793448556859972
LR,PCR1,None,87.0782854636587,29.055990851911154,7.7147773491136675,1.746281786428951,121.48897241878178,8.937364852730537
LR,PCR2,None,104.55922493301357,41.5898288475371,8.279303640742587,2.081529705918008,112.91284377609655,8.526875314109777
LR,PCR3,None,103.0146159528512,42.02145755016446,8.239536786647344,1.9420365452585395,107.54527448607988,8.396898841002313
LR,RFE1,None,87.0782854636587,29.055990851911154,7.7147773491136675,1.746281786428951,121.48897241878178,8.937364852730537
LR,RFE2,None,60.38216864679291,39.18977695072077,5.597837184108704,2.0663683009230023,81.00472372465937,6.62957873501811
LR,RFE3,None,85.50754452269625,54.78558110494101,6.62631702244425,2.4870687965441824,81.08132392770835,6.715086293988678
LR,None,DL1,11948.395524437083,2780.5477117364835,79.27371374165699,13.275492651493538,10763.001332425276,72.43862004871924
LR,None,DL2,12379.958170543117,2481.6504638784936,82.83271427197697,11.56083610366068,10515.556251710239,65.91942965269992
LR,None,DL3,10911.715893778035,4850.394991801521,74.99635682357028,25.208204395799072,12542.855607806441,89.02518352689209
LR,None,FA1,183.63793593084137,118.35861446961657,9.92002467988561,3.31854883042197,423.43874118438487,13.953769807956407
LR,None,FA2,152.47764796830344,104.73924821611456,8.69914057302464,3.4833614793374745,199.9694594940032,10.293578539038075
LR,None,FA3,79.97355701382403,56.06684224272887,5.950241712278098,2.3266124220918485,170.52826306049172,9.37967367727798
LR,None,ICA1,175.13459312823625,113.61297649708021,9.357412389251257,3.3769018919667304,361.79673370320387,12.995410122226852
LR,None,ICA2,97.37118211482994,73.00530904760717,7.022510848499984,3.1552491223337977,167.61546321656894,9.15743384799403
LR,None,ICA3,111.40809857930572,90.22656661073648,6.484722999157697,2.8610414930494694,163.39587504743943,9.177429320746542
LR,None,IPCA1,178.41068277159852,117.09972794017017,9.424722299064095,3.400538355359514,362.53677111421297,13.010565899654317
LR,None,IPCA2,96.25374556276253,71.62667670463894,7.043056569436603,2.353853714497759,210.30223309904568,10.184156130983364
LR,None,IPCA3,73.69680549947226,58.762677514635314,5.856300242397838,2.4792283699802273,159.93739817474125,9.112796279762266
LR,None,KPCA1-2,198.33392082818935,146.3897634439544,9.582068352889568,3.7370409179805226,339.3263540700002,12.86037640693806
LR,None,KPCA2-2,100.34628646187853,74.12373351664813,7.175503469015541,3.22334611729377,149.07298366035138,8.836458394885604
LR,None,KPCA3-2,168.99060985314824,195.86492752937454,7.086646149750766,3.513389998060081,144.56870127236957,8.69574435846879
LR,None,KPCA1-3,241.05349953390675,225.64233750836476,9.90409483315986,4.228315455428983,318.093707487832,12.709869169430432
LR,None,KPCA2-3,110.80235672170116,87.74489749768593,7.42404436162798,3.4134311341267907,134.35887147382627,8.64342630836551
LR,None,KPCA3-3,299.7109990046398,456.01122371765683,7.976005836209983,4.698609110599247,129.67061662607526,8.384325089060043
LR,None,KPCA1-4,317.0391288341041,377.13446487472555,10.34736672574653,4.931761296922085,298.3406426461101,12.54821899662272
LR,None,KPCA2-4,134.49165949244974,127.93213580396379,7.775737271950691,3.769874954635853,123.40646228321248,8.552245768474977
LR,None,KPCA3-4,577.9846610052957,1011.9264229172982,9.143755161497559,6.540988393023392,118.69265372052755,8.381301567455752
LR,None,KPCA1-5,450.5932499526742,646.5581895307959,10.925741416937175,5.935147760556608,280.21586359311414,12.3794163016015
LR,None,KPCA2-5,182.5632313108725,218.19776806415098,8.267517536603078,4.355643690373684,115.84095479254164,8.555427500859842
LR,None,KPCA3-5,1151.1018996603673,2156.2268825941787,10.731471593335701,9.228266308836478,111.28234357125679,8.405373932969749
LR,None,KPCA1-6,685.0785925786448,1118.8550406157801,11.704140298407593,7.323334305570145,263.7840258200197,12.207004089215436
LR,None,KPCA2-6,276.38849364116294,400.7349464341352,8.931477316601665,5.238038160819716,111.09616952492189,8.574600223978063
LR,None,KPCA3-6,2313.854967944043,4478.363254831793,12.90754714661729,13.110921270665154,106.8534657865661,8.45206675240267
LR,None,KPCA1-R,163.21460932360714,100.06110557422906,9.400025751796187,3.2509548134674455,364.4126489833647,13.15574248165418
LR,None,KPCA2-R,112.13216318960902,87.74670942663629,7.5026363484360035,3.44113891909612,168.22698268410443,9.264706519302472
LR,None,KPCA3-R,94.066683554511,68.81336743353242,6.057837300298255,2.517011659527783,166.8327163944011,9.336100660893058
